Name,Team,Position,Expert Rank
Ja'Marr Chase,CIN,WR,1
Justin Jefferson,MIN,WR,2
CeeDee Lamb,DAL,WR,3
Tyreek Hill,MIA,WR,4
Amon-Ra St. Brown,DET,WR,5
Garrett Wilson,NYJ,WR,6
Drake London,ATL,WR,7
Puka Nacua,LAR,WR,8
Bijan Robinson,ATL,RB,9
Breece Hall,NYJ,RB,10
Josh Allen,BUF,QB,11
Lamar Jackson,BAL,QB,12
Jalen Hurts,PHI,QB,13
Patrick Mahomes,KC,QB,14
Sam LaPorta,DET,TE,15
Trey McBride,ARI,TE,16
Brock Bowers,LV,TE,17
Kyren Williams,LAR,RB,18
De'Von Achane,MIA,RB,19
Marvin Harrison Jr.,ARI,WR,20
Rome Odunze,CHI,WR,21
Brian Thomas Jr.,JAX,WR,22
Malik Nabers,NYG,WR,23
C.J. Stroud,HOU,QB,24
Anthony Richardson,IND,QB,25
Jayden Daniels,WAS,QB,26
Bo Nix,DEN,QB,27
Caleb Williams,CHI,QB,28
Rhamondre Stevenson,NE,RB,29
James Cook,BUF,RB,30
Rachaad White,TB,RB,31
Jahmyr Gibbs,DET,RB,32
Travis Kelce,KC,TE,33
Mark Andrews,BAL,TE,34
Davante Adams,NYJ,WR,35
Stefon Diggs,HOU,WR,36
Calvin Ridley,TEN,WR,37
Tee Higgins,CIN,WR,38
Michael Pittman Jr.,IND,WR,39
Jordan Addison,MIN,WR,40
Keenan Allen,CHI,WR,41
Chris Olave,NO,WR,42
Diontae Johnson,CAR,WR,43
Tank Dell,HOU,WR,44
Jaylen Warren,PIT,RB,45
Chuba Hubbard,CAR,RB,46
Tony Pollard,TEN,RB,47
Isiah Pacheco,KC,RB,48
Jonathan Taylor,IND,RB,49
Devin Singletary,NYG,RB,50
Zach Charbonnet,SEA,RB,51
Dalton Kincaid,BUF,TE,52
Jake Ferguson,DAL,TE,53
Dallas Goedert,PHI,TE,54
Evan Engram,JAX,TE,55
Brenton Strange,JAX,TE,56
Tucker Kraft,GB,TE,57
Dak Prescott,DAL,QB,58
Kirk Cousins,ATL,QB,59
Jordan Love,GB,QB,60
Jaxon Smith-Njigba,SEA,WR,61
Rashee Rice,KC,WR,62
Quentin Johnston,LAC,WR,63
Zay Flowers,BAL,WR,64
Dontayvion Wicks,GB,WR,65
Xavier Worthy,KC,WR,66
Rashid Shaheed,NO,WR,67
Jalen McMillan,TB,WR,68
Javon Baker,NE,WR,69
Adonai Mitchell,IND,WR,70
